classifier,precision_no,recall_no,f1-score_no,precision_yes,recall_yes,f1-score_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg
BernoulliNB,0.77,0.94,0.85,0.68,0.33,0.45,0.76,0.73,0.63,0.65
ComplementNB,0.78,0.9,0.84,0.61,0.37,0.46,0.75,0.69,0.64,0.65
MultinomialNB,0.76,0.99,0.86,0.88,0.22,0.35,0.76,0.82,0.6,0.6
LinearSVC,0.79,0.9,0.84,0.64,0.41,0.5,0.76,0.72,0.66,0.67
SVC,0.78,0.97,0.86,0.82,0.32,0.46,0.78,0.8,0.65,0.66
