ablation,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
BoW,0.86,0.91,0.88,0.74,0.65,0.69,0.83,0.8,0.78,0.79,0.58
Jaccard,0.84,0.87,0.85,0.64,0.58,0.6,0.79,0.74,0.72,0.73,0.46
Length,0.86,0.91,0.88,0.73,0.62,0.67,0.82,0.79,0.76,0.77,0.55
Link,0.85,0.89,0.87,0.69,0.6,0.64,0.81,0.77,0.75,0.76,0.52
Position,0.85,0.91,0.88,0.73,0.61,0.66,0.82,0.79,0.76,0.77,0.54
Rough_Length,0.85,0.89,0.87,0.7,0.62,0.66,0.81,0.78,0.76,0.76,0.53
Type,0.85,0.89,0.87,0.69,0.6,0.64,0.81,0.77,0.74,0.75,0.51
