feature,score
$,0.4089208803486795
0,0.0298118068501986
1,1.7245895982776964
100,0.40892088034867924
146,0.40892088034867935
16251273,0.40892088034867946
18004150,0.4089208803486794
2,1.3753467985045151
2014,0.818945460779272
2015,0.4089208803486795
2016,0.4089208803486795
224,0.40892088034867946
23326562,0.4089208803486793
3,1.0268200597813235
330,0.4089208803486794
33445383,0.4089208803486795
4,0.5304804839331464
404,0.40892088034867957
4b,0.4089208803486796
5,0.7489498561168617
500,0.4089208803486794
5em,0.40892088034867946
6,0.40892088034867946
600,0.4089208803486794
662,0.4089208803486795
7,0.4089208803486794
70,0.4089208803486793
8,0.5281260673802577
8134679,0.40892088034867946
873661,0.40892088034867946
9,0.4089208803486793
9417836,0.40892088034867946
@cemartins,0.40892088034867946
@code,2.344781630741402
@impl,0.7800870401342116
@inherit,2.4474610784860715
@link,22.751429334765728
@override,0.4089208803486794
@param,2.2299222009735127
@post,2.447461078486072
@return,2.2956726999604373
@see,0.8189412816383286
a,28.265115503490374
a4,0.40892088034867946
abbrevaition,2.4474610784860715
abbreviate,2.447461078486072
abbreviated,0.40892088034867946
abbreviation,1.1547211060037437
abbreviations,5.034721037359413
abbriviations,0.4089208803486794
able,0.8175641392418225
aborted,0.799843516539085
about,2.0110128908725824
above,1.9925403441817697
abstract,1.5666743065752902
accelerator,0.5731108344804158
accept,0.6724462935705985
acceptable,2.148843714175179
accepted,0.7226526132253143
acceptor,2.4474610784860715
access,3.8786220226561205
accessed,0.40892088034867957
accessor,1.0057719914365544
according,0.40841385986850354
account,0.40892088034867946
action,0.19577605238571888
actions,4.365000389890374
activate,0.4089208803486795
activated,0.40892088034867957
active,1.6294183084401705
actual,2.7912797524038666
actually,0.7523430197423827
adapted,0.8059741174532147
adapter,0.6621041680863751
add,1.2866790995493684
added,0.7270956466815763
adding,3.5083041715941374
addition,0.11368905536658562
additional,0.5033645078525261
additionally,0.8581354562421223
adds,0.6672940410763619
advanced,0.6958861567838048
advised,1.072854652372404
affects,0.4089208803486794
after,6.111699634670907
afterwards,0.8189433490831977
again,1.4777666489169614
against,0.40892088034867957
ai,0.40892088034867946
aka,0.4089208803486796
al,2.447461078486072
alert,3.6782429680500326
algorithm,0.40892088034867935
alias,0.4089208803486793
align,0.40892088034867946
alive,0.40892088034867946
all,2.0460041649846072
allow,0.7320735627912437
allowed,2.195224489500112
allows,1.557011214712503
almost,0.4089208803486794
alone,0.7839740054301972
already,2.660015501951596
also,10.913298189147234
alt,1.6418335446838983
although,0.7984911034250931
always,3.8967116485911633
an,8.92883866098628
analyzed,0.40892088034867935
anchor,0.40892088034867935
